year,czone,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,4800,4819,47168.6,67683.656,10415.291,0.263,0.106,0.045,0.018,0.682,0.001,0.847,306723.774,157270.636,-3426.24,31972.288,33371.552,0.413,0.587,NA,NA,0.111,0.423,0.574,0,0.219,3.995,49.665,1707.886,0.019,0.017,0.008,0.003,0.008,0,0.012,0.018,0.01
1960,4901,4657,43679.973,73038.24,34900.271,0.151,0.043,0.015,0.006,0.497,0.41,0.694,125812.485,179698.977,-2788.578,30401.125,36046.934,0.564,0.436,NA,NA,0.095,0.81,0.189,0,0.166,3.388,50.665,2612.399,0.029,0.027,0.014,0.006,0.017,0.487,0.022,0.029,0.022
1960,4902,4586,23476.062,68990.67,34292.477,0.132,0.037,0.015,0.008,0.485,0.41,0.688,112139.314,175246.496,-3098.066,26176.253,31511.451,0.553,0.447,NA,NA,0.078,0.783,0.217,0,0.154,3.511,50.759,2352.387,0.028,0.022,0.009,0.003,0.017,0.489,0.022,0.028,0.019
1960,4903,2580,7909.786,62938.934,34549.168,0.106,0.033,0.009,0.003,0.451,0.584,0.648,93676.702,159515.712,-2789.712,24990.676,30685.274,0.6,0.4,NA,NA,0.059,0.862,0.138,0,0.148,3.61,50.132,1135.455,0.014,0.011,0.008,0.004,0.009,0.464,0.012,0.017,0.012
1960,5000,5559,36736.455,66096.907,34456.592,0.134,0.041,0.012,0.006,0.469,0.585,0.666,106083.78,162453.052,-2599.787,29049.16,37820.874,0.594,0.406,NA,NA,0.116,0.723,0.277,0,0.167,3.731,49.641,1991.124,0.025,0.021,0.012,0.004,0.016,0.473,0.019,0.025,0.02
1960,5100,2390,25322.675,60944.927,34977.976,0.103,0.022,0.006,0.002,0.437,0.582,0.631,87239.498,153268.874,-2337.406,24940.522,32588.561,0.623,0.377,NA,NA,0.082,0.844,0.156,0,0.146,3.59,50.033,1026.192,0.014,0.016,0.009,0.004,0.009,0.452,0.011,0.015,0.012
1960,5201,2124,10468.638,69327.508,32464.994,0.146,0.041,0.018,0.011,0.494,0.589,0.7,115326.013,174945.813,-3424.96,28233.856,39171.664,0.541,0.459,NA,NA,0.119,0.705,0.295,0,0.146,3.826,49.144,2850.017,0.034,0.03,0.011,0.001,0.02,0.499,0.025,0.032,0.022
1960,5202,12009,201731.273,85996.938,35733.739,0.234,0.092,0.038,0.015,0.583,0.041,0.764,261348.458,181521.547,-3059.753,46236.728,52500.064,0.534,0.466,NA,NA,0.156,0.626,0.374,0,0.191,3.684,46.8,867.506,0.009,0.008,0.003,0.001,0.004,0,0.006,0.009,0.018
1960,5300,3349,41671.623,62419.315,13143.875,0.185,0.059,0.018,0.007,0.618,0.402,0.791,137542.514,177047.663,-3236.39,28058.269,29400.832,0.401,0.599,NA,NA,0.09,0.596,0.403,0,0.166,3.905,48.333,2829.766,0.036,0.026,0.018,0.007,0.016,0.536,0.024,0.035,0.018
1960,5401,2489,28742.766,83801.76,41244.66,0.195,0.09,0.038,0.015,0.484,0.077,0.695,239658.169,177540.215,-2572.651,32453.676,39556.253,0.619,0.381,NA,NA,0.098,0.925,0.075,0,0.155,3.335,49.895,3958.099,0.038,0.026,0.011,0.005,0.025,0.004,0.031,0.04,0.009
1960,5402,4912,22383.227,74922.228,44515.16,0.097,0.037,0.018,0.013,0.394,0.579,0.595,103979.796,176540.814,-2563.58,25213.296,35297.003,0.669,0.331,NA,NA,0.066,0.966,0.034,0,0.148,3.544,49.953,1097.256,0.013,0.01,0.002,0.005,0.009,0.438,0.011,0.013,0.013
1960,5500,2376,28200.147,76252.661,37934.091,0.183,0.08,0.034,0.014,0.487,0.085,0.688,252133.255,168620.623,-1519.695,34960.405,38784.469,0.65,0.35,NA,NA,0.085,0.893,0.107,0,0.151,3.463,49.235,1703.653,0.018,0.014,0.008,0.003,0.012,0.002,0.015,0.019,0.007
