year,puma,statefip,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,cntygp97,cntygp98,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,59,8,1588,31760,124522.563,57599.831,0.128,0.037,0.018,0.01,0.45,0.413,0.65,175000.827,322524.691,-1774.95,44475.769,55165.638,0.632,0.368,NA,NA,NA,NA,0.154,0.996,0.001,0,0.144,3.34,49.92,6957.513,0.04,0.03,0.009,0.003,0.029,0.462,0.036,0.036,0.031
1960,60,8,1061,21220,104462.893,49905.808,0.107,0.039,0.009,0.003,0.433,0.58,0.631,141721.512,283044.506,0,42092.403,60070.424,0.699,0.301,NA,NA,NA,NA,0.188,0.977,0,0.001,0.153,3.411,47.806,5199.067,0.038,0.018,0.013,0.005,0.027,0.451,0.034,0.033,0.026
1960,63,9,1651,33020,162160.014,86012.308,0.193,0.072,0.03,0.012,0.507,0.093,0.68,294397.641,316107.146,3844.385,69180.364,100759.909,0.671,0.329,NA,NA,NA,NA,0.21,0.993,0.007,0,0.15,3.305,48.899,4912.311,0.026,0.019,0.006,0.003,0.015,0.003,0.018,0.025,0.032
1960,64,9,1144,22880,125764.234,86204.417,0.181,0.079,0.032,0.013,0.432,0.127,0.625,298598.144,234863.422,5394.529,68077.475,96659.375,0.669,0.331,NA,NA,NA,NA,0.217,0.997,0.003,0,0.111,3.427,45.719,4003.93,0.025,0.017,0.007,0.003,0.018,0.004,0.021,0.023,0.011
1960,65,9,831,16620,126857.285,76645.024,0.197,0.089,0.036,0.015,0.446,0.127,0.635,280730.584,247182.982,6317.377,60827.334,94737.994,0.73,0.27,NA,NA,NA,NA,0.232,0.995,0.004,0,0.113,3.472,45.628,6851.502,0.043,0.027,0.011,0.004,0.03,0.007,0.036,0.044,0.014
1960,66,9,927,18540,95734.776,49138.932,0.201,0.069,0.028,0.011,0.483,0.243,0.684,213421.429,202510.62,0,51339.734,61965.495,0.553,0.447,NA,NA,NA,NA,0.108,0.996,0.003,0,0.165,3.229,48.862,2820.376,0.023,0.04,0.016,0.007,0.014,0.381,0.019,0.023,0.024
1960,67,9,1188,23760,138090.134,83265.377,0.166,0.066,0.027,0.011,0.458,0.106,0.65,341189.606,281167.453,2617.616,60704.522,100702.85,0.679,0.321,NA,NA,NA,NA,0.203,0.986,0.014,0,0.145,3.291,47.054,3430.653,0.023,0.015,0.006,0.002,0.014,0.003,0.016,0.025,0.026
1960,68,9,1388,27760,86981.845,32930.999,0.158,0.049,0.017,0.007,0.487,0.408,0.698,154605.022,201021.936,-2480.797,59214.657,54176.507,0.404,0.596,NA,NA,NA,NA,0.143,0.942,0.058,0,0.19,3.256,49.009,3481.019,0.034,0.028,0.016,0.006,0.02,0.498,0.024,0.034,0.027
1960,69,10,894,17880,76547.507,36743.36,0.122,0.024,0.01,0.004,0.474,0.583,0.661,115227.376,190818.681,0,45987.877,51818.686,0.588,0.412,NA,NA,NA,NA,0.158,0.862,0.135,0,0.135,3.334,43.644,2674.866,0.029,0.034,0.014,0.006,0.017,0.469,0.023,0.032,0.02
1960,70,10,1076,21520,100462.257,47831.049,0.132,0.045,0.011,0.004,0.457,0.582,0.652,148352.593,250734.57,0,44972.813,53400.644,0.641,0.359,NA,NA,NA,NA,0.118,0.817,0.175,0,0.164,3.302,48.862,4060.277,0.033,0.021,0.015,0.006,0.02,0.463,0.026,0.031,0.027
1960,71,11,2444,48880,48360.895,14192.818,0.147,0.042,0.01,0.004,0.528,0.592,0.733,88102.89,133586.535,-3604.725,53110.036,30791.793,0.254,0.746,NA,NA,NA,NA,0.191,0.523,0.472,0,0.228,3.4,41.096,1611.045,0.026,0.021,0.014,0.006,0.015,0.509,0.02,0.027,0.015
1960,72,12,794,15880,67369.62,31107.112,0.177,0.066,0.036,0.025,0.541,0.414,0.694,134114.281,144214.548,0,49463.086,46451.702,0.545,0.455,NA,NA,NA,NA,0.241,0.94,0.06,0,0.097,3.659,38.952,2581.471,0.036,0.024,0.006,0.016,0.016,0.46,0.02,0.031,0.028
1960,73,12,982,19640,67143.092,35188.828,0.135,0.035,0.009,0.004,0.481,0.576,0.635,106819.644,143988.843,0,29651.274,38908.253,0.701,0.299,NA,NA,NA,NA,0.1,0.81,0.189,0,0.187,3.58,50.49,2571.005,0.031,0.025,0.014,0.006,0.018,0.431,0.024,0.033,0.026
1960,74,12,877,17540,72830.435,33856.056,0.206,0.084,0.041,0.024,0.543,0.244,0.71,173821.565,157083.874,0,44204.05,47941.667,0.6,0.4,NA,NA,NA,NA,0.149,0.86,0.14,0,0.151,3.567,42.697,2154.253,0.022,0.02,0.011,0.02,0.013,0.38,0.017,0.02,0.022
1960,75,12,922,18440,74343.732,34169.848,0.234,0.111,0.045,0.018,0.553,0.08,0.735,280559.894,151812.15,0,35133.427,42389.409,0.636,0.364,NA,NA,NA,NA,0.1,0.7,0.299,0,0.196,3.679,49.431,3363.615,0.033,0.034,0.014,0.005,0.02,0.004,0.025,0.034,0.008
1960,83,12,792,15840,64471.925,21764.576,0.171,0.045,0.018,0.007,0.576,0.407,0.743,137069.169,163916.467,-3009.2,41358.364,35750.58,0.436,0.564,NA,NA,NA,NA,0.16,0.822,0.165,0,0.133,3.205,43.02,2361.908,0.03,0.044,0.018,0.007,0.015,0.506,0.02,0.03,0.02
1960,84,13,975,19500,85592.679,36400.885,0.206,0.082,0.029,0.012,0.553,0.243,0.719,193392.508,179235.504,0,41454.164,48119.443,0.639,0.361,NA,NA,NA,NA,0.075,0.965,0.035,0,0.164,3.626,46.47,2671.279,0.028,0.021,0.017,0.007,0.013,0.38,0.018,0.027,0.029
1960,85,13,938,18760,68804.863,35804.116,0.1,0.028,0.017,0.013,0.438,0.577,0.613,92708.045,171863.425,0,29381.233,42929.722,0.69,0.31,NA,NA,NA,NA,0.085,0.982,0.018,0,0.138,3.696,48.093,1691.723,0.019,0.018,0.003,0.005,0.012,0.433,0.015,0.025,0.016
1960,86,13,958,19160,62959.515,34817.069,0.127,0.049,0.028,0.019,0.466,0.415,0.656,107746.585,162237.626,-1540.443,33970.093,40465.61,0.606,0.394,NA,NA,NA,NA,0.102,0.884,0.116,0,0.147,3.663,47.875,1354.83,0.018,0.019,0.008,0.013,0.011,0.458,0.014,0.017,0.014
1960,91,13,845,16900,67328.407,28714.47,0.156,0.032,0.013,0.005,0.531,0.59,0.718,117735.266,173240.282,-1845.226,37763.678,38168.65,0.504,0.496,NA,NA,NA,NA,0.089,0.666,0.334,0,0.176,3.826,48.804,2984.075,0.033,0.043,0.018,0.007,0.02,0.5,0.025,0.033,0.022
1960,98,13,698,13960,70823.303,37088.128,0.119,0.014,0.006,0.002,0.476,0.747,0.65,107242.951,182417.78,-1612.65,38166.286,44373.151,0.639,0.361,NA,NA,NA,NA,0.087,0.87,0.13,0,0.128,3.711,47.994,2395.446,0.028,0.031,0.012,0.005,0.015,0.373,0.02,0.028,0.021
1960,100,13,979,19580,83759.383,26772.538,0.246,0.092,0.044,0.025,0.628,0.221,0.784,226865.895,155693.294,-1864.524,43319.9,48324.533,0.492,0.508,NA,NA,NA,NA,0.113,0.746,0.254,0,0.181,3.613,46.838,2376.194,0.02,0.021,0.008,0.018,0.01,0.415,0.013,0.028,0.025
1960,102,13,1665,33300,73971.488,30269.844,0.276,0.128,0.052,0.021,0.611,0.046,0.79,305895.122,145318.331,-2311.917,45193.419,45380.258,0.535,0.465,NA,NA,NA,NA,0.198,0.693,0.304,0,0.2,3.542,44.483,3829.589,0.036,0.033,0.014,0.005,0.02,0.002,0.026,0.039,0.006
1960,104,13,1255,25100,57971.165,13917.296,0.183,0.058,0.026,0.018,0.57,0.598,0.767,116773.998,150371.093,-2837.46,25781.939,30473.494,0.439,0.561,NA,NA,NA,NA,0.076,0.537,0.463,0,0.222,3.918,50.264,2274.752,0.029,0.026,0.008,0.003,0.017,0.538,0.023,0.031,0.019
